date,is_simulator,mission_type,aircraft_type,custom_aircraft_type,tail_number,origin,destinations,copilot_name,hour_breakdown,total_flight_hours,pilot_role,is_pic,remarks,organization_id,id,created_date,updated_date,created_by_id,is_sample
"2024-01-06","","Training","AH-64E","","224","","[]","","[{""mode"":""D"",""duration"":0.2,""seat_position"":""F""}]","0.2","PI","","","","6880374ac8518fed100db794","2025-07-23T01:13:46.357000","2025-07-23T18:41:46.321000","687810a9294a03ec0724d15f",""
"2023-09-13","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","688036bafdd5d479abadfdc6","2025-07-23T01:11:22.133000","2025-07-23T18:41:59.862000","687810a9294a03ec0724d15f",""
"2024-01-26","","Training","AH-64E","","1903261","ORER","[""ORER""]","","[{""mode"":""NG"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","68803759c8518fed100db838","2025-07-23T01:14:01.385000","2025-07-23T18:41:34.026000","687810a9294a03ec0724d15f",""
"2024-02-02","","Training","AH-64E","","1803230","ORER","[""ORER""]","","[{""mode"":""NG"",""duration"":1.3,""seat_position"":""F""}]","1.3","PI","","","","6880375c6fd7872da0fa0b64","2025-07-23T01:14:04.335000","2025-07-23T18:41:32.311000","687810a9294a03ec0724d15f",""
"2022-08-11","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688037104e75c72c8b5d7f91","2025-07-23T01:12:48.296000","2025-07-23T18:42:27.941000","687810a9294a03ec0724d15f",""
"2023-10-31","","Training","AH-64E","","1803218","LOCAL","[""LOCAL""]","","[{""mode"":""D"",""duration"":0.5,""seat_position"":""F""}]","0.5","PI","","","","688037360a1b90a4f53586a2","2025-07-23T01:13:26.324000","2025-07-23T18:41:56.266000","687810a9294a03ec0724d15f",""
"2023-11-13","","Training","AH-64E","","2003307","ORER","[""ORER""]","","[{""mode"":""H"",""duration"":0.2,""seat_position"":""F""}]","0.2","PI","","","","6880373dd37c09892fe1051a","2025-07-23T01:13:33.290000","2025-07-23T18:41:52.691000","687810a9294a03ec0724d15f",""
"2024-01-06","","Training","AH-64E","","219","","[]","","[{""mode"":""N"",""duration"":0.2,""seat_position"":""F""}]","0.2","PI","","","","6880374b9e09e0c51e5d4553","2025-07-23T01:13:47.313000","2025-07-23T18:41:44.096000","687810a9294a03ec0724d15f",""
"2022-04-01","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688036c82354b00eddc25a63","2025-07-23T01:11:36.302000","2025-07-23T18:43:11.400000","687810a9294a03ec0724d15f",""
"2022-04-19","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","688036d1855a5821a2828f13","2025-07-23T01:11:45.308000","2025-07-23T18:43:06.309000","687810a9294a03ec0724d15f",""
"2024-01-10","","Training","AH-64E","","1803226","ORER","[""ORER""]","","[{""mode"":""D"",""duration"":2,""seat_position"":""F""}]","2","PI","","","","6880374f6fd7872da0fa0b02","2025-07-23T01:13:51.303000","2025-07-23T18:41:39.685000","687810a9294a03ec0724d15f",""
"2024-01-12","","Training","AH-64E","","1903251","LOCAL","[""LOCAL""]","","[{""mode"":""N"",""duration"":0.2,""seat_position"":""F""}]","0.2","PI","","","","688037523a10d8b2b3a1fce9","2025-07-23T01:13:54.306000","2025-07-23T18:41:38.004000","687810a9294a03ec0724d15f",""
"2022-08-05","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""F""}]","1.5","PI","","","","68803708c8518fed100db51e","2025-07-23T01:12:40.301000","2025-07-23T18:42:32.702000","687810a9294a03ec0724d15f",""
"2022-09-01","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1,""seat_position"":""B""}]","1","PI","","","","6880371bb6f49484bf06bc19","2025-07-23T01:12:59.287000","2025-07-23T18:42:19.275000","687810a9294a03ec0724d15f",""
"2022-09-09","true","Training","AH-64E","","","","[]","","[{""mode"":""D"",""duration"":1.5,""seat_position"":""B""}]","1.5","PI","","","","688037223323845aedf3eee0","2025-07-23T01:13:06.294000","2025-07-23T18:42:15.089000","687810a9294a03ec0724d15f",""
"2023-09-20","","Training","AH-64E","","1403039","","[]","","[{""mode"":""NS"",""duration"":0.5,""seat_position"":""F""}]","0.5","PI","","","","68803732ba138e2f497a59db","2025-07-23T01:13:22.308000","2025-07-23T18:41:57.441000","687810a9294a03ec0724d15f",""
"2023-11-07","","Training","AH-64E","","1903261","LOCAL","[""LOCAL""]","","[{""mode"":""NG"",""duration"":1.4,""seat_position"":""F""}]","1.4","PI","","","","68803739b6f49484bf06bc81","2025-07-23T01:13:29.356000","2025-07-23T18:41:54.576000","687810a9294a03ec0724d15f",""
"2024-01-07","","Training","AH-64E","","1803231","EAB","[""EAB""]","","[{""mode"":""D"",""duration"":0.5,""seat_position"":""F""}]","0.5","PI","","","","6880374c6fd7872da0fa0af0","2025-07-23T01:13:48.326000","2025-07-23T18:41:41.362000","687810a9294a03ec0724d15f",""
"2024-02-04","","Training","AH-64E","","1803218","ORER","[""ORER""]","","[{""mode"":""NG"",""duration"":1.1,""seat_position"":""F""}]","1.1","PI","","","","688037606ee141a671c38217","2025-07-23T01:14:08.293000","2025-07-23T18:41:29.892000","687810a9294a03ec0724d15f",""
